Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
Beka flew number0 miles to visit her aunt . Jackson flew number1 miles to visit his aunt . How many more miles did Beka fly than Jackson ?,873.0 563.0,- number0 number1,310.0,"[1, 2, 3, 10, 11, 12, 24, 25, 26]",Beka flew number0 miles to visit her aunt . Jackson flew number1 miles to visit his aunt .,How many more miles did Beka fly than Jackson ?,Anderson flew 3730 miles to visit her aunt . Cyndia flew 3731 miles to visit his aunt . How many more miles did Anderson fly than Cyndia ?,앤더슨은 그녀의 고모를 방문하기 위해 3730마일을 날았다. 신디아는 그의 고모를 방문하기 위해 3731마일을 날았다. 앤더슨은 신디아보다 몇 마일을 더 날았는가?,지훈은 그녀의 고모를 방문하기 위해 number0마일을 날았다 . 지민은 그의 고모를 방문하기 위해 number1마일을 날았다 . 지훈은 지민보다 몇 마일을 더 날았는가 ?,"[4, 5, 6, 12, 13, 14, 19, 20, 21]"
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars , how much money would she have made ?",2.0 13.0 4.0,* number0 - number1 number2,18.0,"[7, 8, 9, 13, 14, 15, 21, 22, 23, 29, 30, 31]","Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars ,",how much money would she have made ?,"Each chocolate bar in a box cost $ 3730 . If a box had 3731 bars total and Anderson sold all but 3732 bars , how much money would she have made ?","상자안에 각각의 초콜릿 바는 3730달러입니다. 만약 한 상자가 총 3731개의 바를 가지고 있고 Anderson이 3732개의 바를 제외한 모든 것을 팔았다면, 그녀는 얼마나 많은 돈을 벌었을까요?","상자안에 각각의 초콜릿 바는 number0달러입니다 . 만약 한 상자가 총 number1개의 바를 가지고 있고 민우가 number2개의 바를 제외한 모든 것을 팔았다면 , 그녀는 얼마나 많은 돈을 벌었을까요 ?","[3, 4, 5, 9, 10, 11, 14, 15, 16, 24, 25, 26]"
"Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",39.0 19.0 5.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 10, 11, 12, 24, 25, 26, 39, 40, 41]","Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",How many pieces of clothing could go in each of the small loads ?,"Anderson had 3730 pieces of clothing to wash . He put 3731 of them in one load , but decided to split the rest into 3732 equal loads . How many pieces of clothing could go in each of the small loads ?","Anderson은 3730조각의 옷을 빨았다. 그는 그것들 중 3731개를 한 짐에 넣었지만, 3732개의 같은 짐으로 나머지를 나누기로 결정했습니다. 작은 짐들 각각에 몇 조각의 옷이 들어갈 수 있습니까?","윤재는 number0조각의 옷을 빨았다 . 그는 그것들 중 number1개를 한 짐에 넣었지만 , number2개의 같은 짐으로 나머지를 나누기로 결정했습니다 . 작은 짐들 각각에 몇 조각의 옷이 들어갈 수 있습니까 ?","[0, 1, 2, 7, 8, 9, 12, 13, 14, 26, 27, 28]"
It took Katherine number0 hours to run to Louis 's house at number1 miles per hour . How far is it between Katherine 's house and Louis 's house ?,3.0 8.0,* number0 number1,24.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",It took Katherine number0 hours to run to Louis 's house at number1 miles per hour .,How far is it between Katherine 's house and Louis 's house ?,It took Anderson 3730 hours to run to Cyndia 's house at 3731 miles per hour . How far is it between Anderson 's house and Cyndia 's house ?,앤더슨이 시속 3731마일로 신디아의 집까지 달려오는데 3730시간이 걸렸다. 앤더슨의 집과 신디아의 집 사이의 거리는 얼마나 됩니까?,윤재가 시속 number1마일로 정현의 집까지 달려오는데 number0시간이 걸렸다 . 윤재의 집과 정현의 집 사이의 거리는 얼마나 됩니까 ?,"[1, 2, 3, 5, 6, 7, 14, 15, 16]"
"George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",28.0 4.0 36.0,- + number0 number2 number1,60.0,"[1, 2, 3, 8, 9, 10, 17, 18, 19, 25, 26, 27]","George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?,"Anderson had 3730 socks . If he threw away 3731 old ones that did n't fit and bought 3732 new ones , how many socks would he have ?","앤더슨은 3730개의 양말을 가지고 있었다. 만약 그가 맞지 않는 3731개의 낡은 양말을 버리고 3732개의 새 양말을 샀다면, 그는 얼마나 많은 양말을 가지고 있었을까?","유나는 number0개의 양말을 가지고 있었다 . 만약 그가 맞지 않는 number1개의 낡은 양말을 버리고 number2개의 새 양말을 샀다면 , 그는 얼마나 많은 양말을 가지고 있었을까 ?","[0, 1, 2, 9, 10, 11, 13, 14, 15, 22, 23, 24]"
"One stamp costs number0 cents . If the cost of each stamp remains the same , how much would number1 stamps cost ?",34.0 4.0,* number0 number1,134.0,"[2, 3, 4, 18, 19, 20, 19, 20, 21]","One stamp costs number0 cents . If the cost of each stamp remains the same ,",how much would number1 stamps cost ?,"One stamp costs 3730 cents . If the cost of each stamp remains the same , how much would 3731 stamps cost ?","한 우표는 3730센트입니다. 각 우표의 가격이 그대로 유지된다면, 3731 우표는 얼마일까요?","한 우표는 number0센트입니다 . 각 우표의 가격이 그대로 유지된다면 , number1 우표는 얼마일까요 ?","[1, 2, 3, 9, 10, 10, 11, 11, 12]"
Norma has number0 cards . She loses number1 . How many cards will Norma have ?,88.0 70.0,- number0 number1,18.0,"[1, 2, 3, 6, 7, 8, 12, 13, 14]",Norma has number0 cards . She loses number1 .,How many cards will Norma have ?,Anderson has 3730 cards . She loses 3731 . How many cards will Anderson have ?,앤더슨은 3730장의 카드를 가지고 있다. 그녀는 3731패를 당한다. 앤더슨은 얼마나 많은 카드를 가질 것인가?,윤재는 number0장의 카드를 가지고 있다 . 그녀는 number1패를 당한다 . 윤재는 얼마나 많은 카드를 가질 것인가 ?,"[0, 1, 2, 6, 7, 8, 13, 14, 15]"
"Debby had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?",30.0 7.0 35.0,- + number0 number2 number1,58.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18, 23, 24, 25]","Debby had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?,"Anderson had 3730 coloring books . If she gave away 3731 of them , but then bought 3732 more , how many would she have total ?","앤더슨은 3730개의 컬러링북을 가지고 있었습니다. 만약 그녀가 3731개의 컬러북을 주었지만 3732개의 컬러북을 더 샀다면, 그녀는 총 몇권의 컬러북을 가지고 있었을까요?","서희는 number0개의 컬러링북을 가지고 있었습니다 . 만약 그녀가 number1개의 컬러북을 주었지만 number2개의 컬러북을 더 샀다면 , 그녀는 총 몇권의 컬러북을 가지고 있었을까요 ?","[0, 1, 2, 7, 8, 9, 10, 11, 12, 19, 20, 21]"
For Halloween Emily received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,54.0 33.0 7.0,/ - number0 number1 number2,3.0,"[3, 4, 5, 10, 11, 12, 19, 20, 21, 28, 29, 30]",For Halloween Emily received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?,For Halloween Emily received 3730 pieces of candy . She ate 3731 pieces then placed the rest into piles with 3732 in each pile . How many piles could she make ?,할로윈에 에밀리는 3730조각의 사탕을 받았다. 그녀는 3731개의 조각을 먹고 나머지는 3732개의 조각과 함께 더미로 쌓았다. 그녀는 얼마나 많은 말뚝을 만들 수 있었을까?,할로윈에 에밀리는 number0조각의 사탕을 받았다 . 그녀는 number1개의 조각을 먹고 나머지는 number2개의 조각과 함께 더미로 쌓았다 . 그녀는 얼마나 많은 말뚝을 만들 수 있었을까 ?,"[1, 2, 3, 6, 7, 8, 10, 11, 12, 21, 22, 23]"
William has number0 bottle caps . He buys number1 more . How many bottle caps does William have in all ?,2.0 41.0,+ number0 number1,43.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",William has number0 bottle caps . He buys number1 more .,How many bottle caps does William have in all ?,Anderson has 3730 bottle caps . He buys 3731 more . How many bottle caps does Anderson have in all ?,앤더슨은 3730개의 병뚜껑을 가지고 있다. 그는 3731을 더 산다. 앤더슨은 모두 몇 개의 병뚜껑을 가지고 있습니까?,민우는 number0개의 병뚜껑을 가지고 있다 . 그는 number1을 더 산다 . 민우는 모두 몇 개의 병뚜껑을 가지고 있습니까 ?,"[0, 1, 2, 6, 7, 8, 15, 16, 17]"
"Tom had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",10.0 25.0 5.0,- + number0 number1 number2,30.0,"[3, 4, 5, 8, 9, 10, 20, 21, 22, 33, 34, 35]","Tom had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",how many did he not wash ?,"Anderson had to wash 3730 short sleeve shirts and 3731 long sleeve shirts before school . If he had only washed 3732 of them by the time school started , how many did he not wash ?","앤더슨은 학교가 시작하기 전에 3730개의 짧은 소매 셔츠와 3731개의 긴 소매 셔츠를 빨아야만 했다. 만약 그가 학교가 시작할 때 까지 그것들 중 3732개만 빨았다면, 그는 얼마나 많이 빨지 않았는가?","윤재는 학교가 시작하기 전에 number0개의 짧은 소매 셔츠와 number1개의 긴 소매 셔츠를 빨아야만 했다 . 만약 그가 학교가 시작할 때 까지 그것들 중 number2개만 빨았다면 , 그는 얼마나 많이 빨지 않았는가 ?","[3, 4, 5, 7, 8, 9, 22, 23, 24, 28, 29, 30]"
"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",58.0 10.0 8.0,/ - number0 number1 number2,6.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31, 38, 39, 40]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?,"There are 3730 students trying out for the school 's trivia teams . If 3731 of them did n't get picked for the team and the rest were put into 3732 groups , how many students would be in each group ?","3730명의 학생들이 학교의 잡화팀을 위해 노력하고 있다. 만약 그들 중 3731명이 팀을 위해 뽑히지 않고 나머지는 3732개의 그룹으로 분류된다면, 각 그룹에 얼마나 많은 학생들이 있을 것인가?","number0명의 학생들이 학교의 잡화팀을 위해 노력하고 있다 . 만약 그들 중 number1명이 팀을 위해 뽑히지 않고 나머지는 number2개의 그룹으로 분류된다면 , 각 그룹에 얼마나 많은 학생들이 있을 것인가 ?","[0, 1, 10, 11, 12, 16, 17, 18, 25, 26, 27]"
"Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",8.0 22.0 2.0,/ + number1 number2 number0,3.0,"[17, 18, 19, 22, 23, 24, 25, 26, 27, 33, 34, 35]","Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?,"Anderson 's class is going on a field trip to the zoo . If each van can hold 3730 people and there are 3731 students and 3732 adults going , how many vans will they need ?","앤더슨의 학급은 동물원으로 견학을 갈 것이다. 각 밴이 3730명을 수용할 수 있고 3731명의 학생과 3732명의 성인들이 가고 있다면, 그들은 몇 대의 밴이 필요할까?","윤재의 학급은 동물원으로 견학을 갈 것이다 . 각 밴이 number0명을 수용할 수 있고 number1명의 학생과 number2명의 성인들이 가고 있다면 , 그들은 몇 대의 밴이 필요할까 ?","[8, 9, 10, 12, 13, 14, 15, 16, 22, 23, 24]"
The Silvergrove Public Library used a grant to purchase number0 books . Now the library has a total of number1 books . How many books did the library have before the grant ?,2647.0 8582.0,- number1 number0,5935.0,"[8, 9, 10, 18, 19, 20, 29, 30, 31]",The Silvergrove Public Library used a grant to purchase number0 books . Now the library has a total of number1 books .,How many books did the library have before the grant ?,The Silvergrove Public Library used a grant to purchase 3730 books . Now the library has a total of 3731 books . How many books did the library have before the grant ?,실버그로브 공공도서관은 3730권의 책을 구입하기 위해 보조금을 사용했다. 현재 그 도서관은 총 3731권의 책을 가지고 있다. 그 도서관은 허가 전에 몇 권의 책을 가지고 있었습니까?,실버그로브 공공도서관은 number0권의 책을 구입하기 위해 보조금을 사용했다 . 현재 그 도서관은 총 number1권의 책을 가지고 있다 . 그 도서관은 허가 전에 몇 권의 책을 가지고 있었습니까 ?,"[1, 2, 3, 12, 13, 14, 24, 25, 26]"
A pet supply store has number0 bags of dog food and number1 bags of cat food . How many more bags of dog food are there than cat food ?,600.0 327.0,- number0 number1,273.0,"[4, 5, 6, 10, 11, 12, 26, 27, 28]",A pet supply store has number0 bags of dog food and number1 bags of cat food .,How many more bags of dog food are there than cat food ?,A pet supply store has 3730 bags of dog food and 3731 bags of cat food . How many more bags of dog food are there than cat food ?,애완동물 용품 가게에는 개 사료 3730봉지와 고양이 사료 3731봉지가 있다. 고양이 사료보다 개 사료가 얼마나 더 많습니까?,애완동물 용품 가게에는 개 사료 number0봉지와 고양이 사료 number1봉지가 있다 . 고양이 사료보다 개 사료가 얼마나 더 많습니까 ?,"[4, 5, 6, 7, 8, 9, 15, 16, 17]"
"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them , how many more problems does she have to grade ?",3.0 15.0 7.0,* number0 - number1 number2,24.0,"[2, 3, 4, 11, 12, 13, 19, 20, 21, 30, 31, 32]","A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",how many more problems does she have to grade ?,"A worksheet had 3730 problems on it . If a teacher had 3731 worksheets to grade and had already graded 3732 of them , how many more problems does she have to grade ?","한 워크시트는 3730개의 문제를 가지고 있었다. 만약 선생님이 3731개의 워크시트를 가지고 있고 그것들 중 3732개의 워크시트를 이미 채점했다면, 그녀는 얼마나 더 많은 문제를 채점해야 하는가?","한 워크시트는 number0개의 문제를 가지고 있었다 . 만약 선생님이 number1개의 워크시트를 가지고 있고 그것들 중 number2개의 워크시트를 이미 채점했다면 , 그녀는 얼마나 더 많은 문제를 채점해야 하는가 ?","[1, 2, 3, 8, 9, 10, 14, 15, 16, 24, 25, 26]"
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,31.0 5.0 11.0,- + number0 number2 number1,37.0,"[4, 5, 6, 16, 17, 18, 20, 21, 22, 35, 36, 37]",In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,How many students were in fourth grade at the end ?,In fourth grade there were 3730 students at the start of the year . During the year 3731 students left and 3732 new students came to school . How many students were in fourth grade at the end ?,4학년때는 3730명의 학생들이 그 해의 시작에 있었다. 3731명의 학생들이 떠났고 3732명의 새로운 학생들이 학교에 왔다. 마지막에 4학년 학생들은 몇 명이었나요?,4학년때는 number0명의 학생들이 그 해의 시작에 있었다 . number1명의 학생들이 떠났고 number2명의 새로운 학생들이 학교에 왔다 . 마지막에 4학년 학생들은 몇 명이었나요 ?,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 19, 20, 21]"
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,102.0 21.0 9.0,/ - number0 number1 number2,9.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23, 30, 31, 32]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?,A pet store had 3730 puppies . In one day they sold 3731 of them and put the rest into cages with 3732 in each cage . How many cages did they use ?,한 애완동물 가게에는 3730마리의 강아지가 있었다. 하루에 그들은 3731개를 팔고 나머지는 3732개가 있는 우리에 넣었다. 그들은 얼마나 많은 우리들을 사용했습니까?,한 애완동물 가게에는 number0마리의 강아지가 있었다 . 하루에 그들은 number1개를 팔고 나머지는 number2개가 있는 우리에 넣었다 . 그들은 얼마나 많은 우리들을 사용했습니까 ?,"[2, 3, 4, 8, 9, 10, 11, 12, 13, 19, 20, 21]"
"Fred found number0 seashells on the beach , he gave Jessica number1 of the seashells . How many seashells does he now have ?",47.0 25.0,- number0 number1,22.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]","Fred found number0 seashells on the beach , he gave Jessica number1 of the seashells .",How many seashells does he now have ?,"Anderson found 3730 seashells on the beach , he gave Cyndia 3731 of the seashells . How many seashells does he now have ?","앤더슨은 해변에서 3730개의 조개껍질을 발견했고, 그는 조개껍질의 3731개를 신디아에게 주었습니다. 그는 지금 얼마나 많은 조개껍질을 가지고 있나요?","윤재는 해변에서 number0개의 조개껍질을 발견했고 , 그는 조개껍질의 number1개를 지현에게 주었습니다 . 그는 지금 얼마나 많은 조개껍질을 가지고 있나요 ?","[1, 2, 3, 7, 8, 9, 16, 17, 18]"
Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes . How many ounces of soap will she use to wash number1 pounds of clothes ?,2.0 9.0,* number0 number1,18.0,"[2, 3, 4, 23, 24, 25, 25, 26, 27]",Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes .,How many ounces of soap will she use to wash number1 pounds of clothes ?,Mrs. Anderson uses 3730 ounces of detergent to wash a pound of clothes . How many ounces of soap will she use to wash 3731 pounds of clothes ?,앤더슨 부인은 1파운드의 옷을 세탁하기 위해 3730온스의 세제를 사용한다. 그녀는 3731파운드의 옷을 세탁하는데 몇온스의 비누를 사용할까?,윤재 부인은 1파운드의 옷을 세탁하기 위해 number0온스의 세제를 사용한다 . 그녀는 number1파운드의 옷을 세탁하는데 몇온스의 비누를 사용할까 ?,"[5, 6, 7, 10, 11, 12, 14, 15, 16]"
Tom was at the beach for number0 days and found number1 seashells every day . How many seashells did Tom find during the beach trip ?,5.0 7.0,* number0 number1,35.0,"[5, 6, 7, 9, 10, 11, 22, 23, 24]",Tom was at the beach for number0 days and found number1 seashells every day .,How many seashells did Tom find during the beach trip ?,Anderson was at the beach for 3730 days and found 3731 seashells every day . How many seashells did Anderson find during the beach trip ?,앤더슨은 3730일 동안 해변에 있었고 매일 3731개의 조개껍질을 발견했다. 앤더슨은 해변 여행 동안 얼마나 많은 조개껍질을 발견했나요?,지민은 number0일 동안 해변에 있었고 매일 number1개의 조개껍질을 발견했다 . 지민은 해변 여행 동안 얼마나 많은 조개껍질을 발견했나요 ?,"[0, 1, 2, 5, 6, 7, 15, 16, 17]"
"Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",4.0 3.0 6.0,* number2 + number0 number1,42.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,"Anderson was collecting cans for recycling . On Saturday he filled 3730 bags up and on Sunday he filled 3731 more bags . If each bag had 3732 cans in it , how many cans did he pick up total ?","앤더슨은 재활용을 위해 깡통을 모으고 있었다. 토요일 그는 3730개의 가방을 채웠고 일요일에는 3731개의 가방을 더 채웠다. 만약 각각의 가방이 3732개의 깡통을 가지고 있다면, 그는 총 몇개의 깡통을 집었는가?","민우는 재활용을 위해 깡통을 모으고 있었다 . 토요일 그는 number0개의 가방을 채웠고 일요일에는 number1개의 가방을 더 채웠다 . 만약 각각의 가방이 number2개의 깡통을 가지고 있다면 , 그는 총 몇개의 깡통을 집었는가 ?","[8, 9, 10, 12, 13, 14, 20, 21, 22, 28, 29, 30]"
Mark sprinted number0 miles at number1 miles per hour . How long did Mark sprint ?,24.0 6.0,/ number0 number1,4.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Mark sprinted number0 miles at number1 miles per hour .,How long did Mark sprint ?,Anderson sprinted 3730 miles at 3731 miles per hour . How long did Anderson sprint ?,앤더슨은 시속 3731마일로 3730마일을 질주했다. 앤더슨은 얼마나 질주했는가?,정현은 시속 number1마일로 number0마일을 질주했다 . 정현은 얼마나 질주했는가 ?,"[1, 2, 3, 4, 6, 7, 8]"
Tim has number0 books . Mike has number1 books . How many books do they have together ?,22.0 20.0,+ number0 number1,42.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Tim has number0 books . Mike has number1 books .,How many books do they have together ?,Anderson has 3730 books . Cyndia has 3731 books . How many books do they have together ?,앤더슨은 3730권의 책을 가지고 있다. 신디아는 3731권의 책을 가지고 있다. 그들은 몇 권의 책을 함께 가지고 있나요?,지현은 number0권의 책을 가지고 있다 . 서희는 number1권의 책을 가지고 있다 . 그들은 몇 권의 책을 함께 가지고 있나요 ?,"[0, 1, 2, 6, 7, 8, 16, 17, 18]"
"Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store . How many oranges does Clarence have in all ?",5.0 3.0 9.0,+ number0 number1,8.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]","Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store .",How many oranges does Clarence have in all ?,"Anderson has 3730 oranges . He gets 3731 more from Cyndia . Later , Anderson buys 3732 Skittles at the store . How many oranges does Anderson have in all ?","앤더슨은 3730개의 오렌지를 가지고 있다. 그는 Cyndia로부터 3731을 더 받는다. 나중에, Anderson은 가게에서 3732 Skittles를 산다. 앤더슨은 모두 몇 개의 오렌지를 가지고 있습니까?","지민은 number0개의 오렌지를 가지고 있다 . 그는 지현로부터 number1을 더 받는다 . 나중에 , 지민은 가게에서 number2 Skittles를 산다 . 지민은 모두 몇 개의 오렌지를 가지고 있습니까 ?","[0, 1, 2, 7, 8, 9, 15, 16, 17, 24, 25, 26]"
"Students at Arcadia schools are participating in a coat drive . number0 coats have been collected so far . number1 coats were collected from the high schools , and the rest from the elementary schools . How many coats were collected at the elementary schools ?",9437.0 6922.0,- number0 number1,2515.0,"[10, 11, 12, 18, 19, 20, 42, 43, 44]","Students at Arcadia schools are participating in a coat drive . number0 coats have been collected so far . number1 coats were collected from the high schools , and the rest from the elementary schools .",How many coats were collected at the elementary schools ?,"Students at Arcadia schools are participating in a coat drive . 3730 coats have been collected so far . 3731 coats were collected from the high schools , and the rest from the elementary schools . How many coats were collected at the elementary schools ?","아카디아 학교의 학생들은 코트 운동에 참여하고 있다. 3730개의 코트는 지금까지 수집되었다. 3731개의 코트는 고등학교로부터 수집되었고, 나머지는 초등학교로부터 수집되었다. 초등학교에서 얼마나 많은 코트가 모였나요?","아카디아 학교의 학생들은 코트 운동에 참여하고 있다 . number0개의 코트는 지금까지 수집되었다 . number1개의 코트는 고등학교로부터 수집되었고 , 나머지는 초등학교로부터 수집되었다 . 초등학교에서 얼마나 많은 코트가 모였나요 ?","[7, 8, 9, 12, 13, 14, 24, 25, 26]"
"Oliver had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom , how much money would he have ?",33.0 4.0 32.0,- + number0 number2 number1,61.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 28, 29, 30]","Oliver had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",how much money would he have ?,"Anderson had 3730 dollars in January . By March he had spent 3731 dollars . If he got another 3732 dollars from his mom , how much money would he have ?","앤더슨은 1월에 3730달러를 가지고 있었다. 3월까지 그는 3731달러를 썼다. 만약 그가 그의 어머니로부터 3732달러를 더 받았다면, 그는 얼마나 많은 돈을 가지고 있었을까?","정현은 1월에 number0달러를 가지고 있었다 . 3월까지 그는 number1달러를 썼다 . 만약 그가 그의 어머니로부터 number2달러를 더 받았다면 , 그는 얼마나 많은 돈을 가지고 있었을까 ?","[1, 2, 3, 7, 8, 9, 14, 15, 16, 22, 23, 24]"
"Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",3.0 7.0 7.0,* number1 + number0 number1,70.0,"[11, 12, 13, 15, 16, 17, 24, 25, 26, 31, 32, 33]","Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?,"Anderson was selling her necklaces at a garage sale . She sold 3730 bead necklaces and 3731 gem stone necklaces . If each necklace cost 3732 dollars , how much money did she earn ?","앤더슨은 차고세일에서 목걸이를 팔고 있었다. 그녀는 3730개의 구슬목걸이와 3731개의 보석돌목걸이를 팔았다. 만약 각각의 목걸이가 3732달러라면, 그녀는 얼마나 많은 돈을 벌었는가?","지현은 차고세일에서 목걸이를 팔고 있었다 . 그녀는 number0개의 구슬목걸이와 number1개의 보석돌목걸이를 팔았다 . 만약 각각의 목걸이가 number2달러라면 , 그녀는 얼마나 많은 돈을 벌었는가 ?","[6, 7, 8, 9, 10, 15, 16, 17, 20, 21, 22]"
"Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",6.0 3.0 8.0,* number2 + number0 number1,72.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,"Anderson was collecting cans for recycling . On Saturday he filled 3730 bags up and on Sunday he filled 3731 more bags . If each bag had 3732 cans in it , how many cans did he pick up total ?","앤더슨은 재활용을 위해 깡통을 모으고 있었다. 토요일 그는 3730개의 가방을 채웠고 일요일에는 3731개의 가방을 더 채웠다. 만약 각각의 가방이 3732개의 깡통을 가지고 있다면, 그는 총 몇개의 깡통을 집었는가?","서희는 재활용을 위해 깡통을 모으고 있었다 . 토요일 그는 number0개의 가방을 채웠고 일요일에는 number1개의 가방을 더 채웠다 . 만약 각각의 가방이 number2개의 깡통을 가지고 있다면 , 그는 총 몇개의 깡통을 집었는가 ?","[8, 9, 10, 12, 13, 14, 20, 21, 22, 28, 29, 30]"
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",47.0 27.0 4.0,/ - number0 number1 number2,5.0,"[2, 3, 4, 10, 11, 12, 27, 28, 29, 34, 35, 36]","The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",how many pies could they make ?,"The cafeteria had 3730 apples . For lunch they handed out 3731 to students and decided to use the rest to make pies . If each pie takes 3732 apples , how many pies could they make ?","카페테리아에는 3730개의 사과가 있었다. 점심으로 그들은 3731을 학생들에게 나누어주고 나머지는 파이를 만드는데 사용하기로 결정했다. 만약 각각의 파이가 3732개의 사과를 가져간다면, 그들은 얼마나 많은 파이를 만들 수 있었을까?","카페테리아에는 number0개의 사과가 있었다 . 점심으로 그들은 number1을 학생들에게 나누어주고 나머지는 파이를 만드는데 사용하기로 결정했다 . 만약 각각의 파이가 number2개의 사과를 가져간다면 , 그들은 얼마나 많은 파이를 만들 수 있었을까 ?","[0, 1, 2, 6, 7, 8, 18, 19, 20, 27, 28, 29]"
"Zoe had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more , how many bottles would she have ?",42.0 25.0 30.0,- + number0 number2 number1,47.0,"[1, 2, 3, 12, 13, 14, 18, 19, 20, 25, 26, 27]","Zoe had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more ,",how many bottles would she have ?,"Anderson had 3730 bottles of water in her fridge . If she drank 3731 of them and then bought 3732 more , how many bottles would she have ?","앤더슨은 그녀의 냉장고에 3730개의 물병을 가지고 있었다. 만약 그녀가 3731개의 물병을 마셨다면, 그리고 3732개의 물병을 더 샀다면, 그녀는 얼마나 많은 병을 가지고 있었을까?","지민은 그녀의 냉장고에 number0개의 물병을 가지고 있었다 . 만약 그녀가 number1개의 물병을 마셨다면 , 그리고 number2개의 물병을 더 샀다면 , 그녀는 얼마나 많은 병을 가지고 있었을까 ?","[2, 3, 4, 9, 10, 11, 14, 15, 16, 23, 24, 25]"
